Time stamp,TMR,RMS,Min,Max,didt,Power,Temp,OP
43:46.2,-9,7.1,-9,10,-3,671,664,0.05
43:46.2,-9,7.1,-9,10,0,671,664,0.05
43:46.2,-5,7.1,-9,10,4,671,665,0.05
43:46.2,1,7.1,-9,10,6,671,667,0.05
43:46.2,7,7.1,-9,10,6,671,668,0.05
43:46.2,10,7.1,-9,10,3,671,668,0.05
43:46.2,10,7.1,-9,10,0,671,667,0.05
43:46.2,6,7.1,-9,10,-4,671,665,0.05
43:46.2,0,7.1,-9,10,-6,671,664,0.05
43:46.2,-6,7.1,-9,10,-6,671,664,0.05
43:46.2,-10,7.1,-9,10,-4,671,665,0.05
43:46.2,-9,7.1,-9,10,1,671,667,0.05
43:46.2,-5,7.1,-9,10,4,671,668,0.05
43:46.2,1,7.1,-9,10,6,671,668,0.05
43:46.2,7,7.1,-9,10,6,671,667,0.05
43:46.2,10,7.1,-9,10,3,671,666,0.05
43:46.2,10,7.1,-9,10,0,671,664,0.05
43:46.2,6,7.1,-9,10,-4,671,664,0.05
43:46.2,0,7.1,-9,10,-6,671,665,0.05
43:46.2,-7,7.1,-9,10,-7,671,666,0.05
43:46.2,-10,7.4,-10,10,-3,671,668,0.05
43:46.2,-9,7.4,-10,10,1,672,668,0.05
43:46.2,-5,7.4,-10,10,4,671,668,0.05
43:46.2,1,7.4,-10,10,6,671,666,0.05
43:46.2,7,7.4,-10,10,6,671,664,0.05
43:46.2,10,7.4,-10,10,3,671,664,0.05
43:46.2,9,7.4,-10,10,-1,671,664,0.05
43:46.2,6,7.4,-10,10,-3,671,665,0.05
43:46.2,0,7.4,-10,10,-6,672,667,0.05
43:46.2,-6,7.4,-10,10,-6,671,668,0.05
43:46.2,-9,7.1,-10,10,-3,672,668,0.05
43:46.2,-9,7.1,-10,10,0,671,667,0.05
43:46.2,-5,7.1,-10,10,4,671,665,0.05
43:46.2,1,7.1,-10,10,6,671,664,0.05
43:46.2,7,7.1,-10,10,6,671,664,0.05
43:46.2,11,7.1,-10,10,4,671,665,0.05
43:46.2,10,7.1,-10,10,-1,671,667,0.05
43:46.2,6,7.1,-10,10,-4,672,668,0.05
43:46.2,0,7.1,-10,10,-6,671,668,0.05
43:46.2,-6,7.1,-10,10,-6,671,667,0.05
43:46.2,-10,7.3,-9,11,-4,671,666,0.05
43:46.2,-9,7.3,-9,11,1,672,664,0.05
43:46.2,-5,7.3,-9,11,4,671,664,0.05
43:46.2,1,7.3,-9,11,6,671,665,0.05
43:46.2,7,7.3,-9,11,6,671,666,0.05
43:46.3,11,7.3,-9,11,4,671,668,0.05
43:46.3,10,7.3,-9,11,-1,671,668,0.05
43:46.3,6,7.3,-9,11,-4,671,668,0.05
43:46.3,0,7.3,-9,11,-6,672,666,0.05
43:46.3,-6,7.3,-9,11,-6,671,665,0.05
43:46.3,-9,7.4,-10,11,-3,671,664,0.05
43:46.3,-9,7.4,-10,11,0,671,664,0.05
43:46.3,-5,7.4,-10,11,4,671,665,0.05
43:46.3,1,7.4,-10,11,6,671,667,0.05
43:46.3,7,7.4,-10,11,6,671,668,0.05
43:46.3,10,7.4,-10,11,3,671,668,0.05
43:46.3,10,7.4,-10,11,0,671,667,0.05
43:46.3,5,7.4,-10,11,-5,671,665,0.05
43:46.3,0,7.4,-10,11,-5,671,664,0.05
43:46.3,-6,7.4,-10,11,-6,672,664,0.05
43:46.3,-10,7.1,-9,10,-4,671,665,0.05
43:46.3,-9,7.1,-9,10,1,671,667,0.05
43:46.3,-4,7.1,-9,10,5,672,668,0.05
43:46.3,1,7.1,-9,10,5,671,668,0.05
43:46.3,7,7.1,-9,10,6,671,667,0.05
43:46.3,10,7.1,-9,10,3,671,666,0.05
43:46.3,10,7.1,-9,10,0,671,664,0.05
43:46.3,5,7.1,-9,10,-5,671,664,0.05
43:46.3,0,7.1,-9,10,-5,671,665,0.05
43:46.3,-6,7.1,-9,10,-6,671,666,0.05
43:46.3,-9,7.1,-10,10,-3,671,668,0.05
43:46.3,-9,7.1,-10,10,0,672,668,0.05
43:46.3,-5,7.1,-10,10,4,671,668,0.05
43:46.3,1,7.1,-10,10,6,671,666,0.05
43:46.3,7,7.1,-10,10,6,671,665,0.05
43:46.3,10,7.1,-10,10,3,671,664,0.05
43:46.3,10,7.1,-10,10,0,671,664,0.05
43:46.3,6,7.1,-10,10,-4,671,665,0.05
43:46.3,0,7.1,-10,10,-6,671,667,0.05
43:46.3,-6,7.1,-10,10,-6,671,668,0.05
43:46.3,-9,7.1,-9,10,-3,671,668,0.05
43:46.3,-9,7.1,-9,10,0,671,667,0.05
43:46.3,-5,7.1,-9,10,4,672,665,0.05
43:46.3,1,7.1,-9,10,6,671,664,0.05
43:46.3,7,7.1,-9,10,6,671,664,0.05
43:46.3,10,7.1,-9,10,3,671,665,0.05
43:46.3,10,7.1,-9,10,0,671,667,0.05
43:46.3,6,7.1,-9,10,-4,671,668,0.05
43:46.3,0,7.1,-9,10,-6,671,668,0.05
43:46.3,-6,7.1,-9,10,-6,672,667,0.05
43:46.3,-10,7.1,-9,10,-4,671,666,0.05
43:46.3,-9,7.1,-9,10,1,671,664,0.05
43:46.3,-4,7.1,-9,10,5,671,664,0.05
43:46.3,2,7.1,-9,10,6,671,665,0.05
43:46.3,7,7.1,-9,10,5,671,666,0.05
43:46.3,10,7.1,-9,10,3,671,668,0.05
43:46.3,10,7.1,-9,10,0,671,668,0.05
43:46.3,5,7.1,-9,10,-5,671,667,0.05
43:46.3,0,7.1,-9,10,-5,672,666,0.05
43:46.3,-6,7.1,-9,10,-6,671,664,0.05
43:53.4,-19,14.3,-19,20,-1,671,664,0.1
43:53.4,-13,14.3,-19,20,6,671,665,0.1
43:53.4,-1,14.3,-19,20,12,671,667,0.1
43:53.4,11,14.3,-19,20,12,671,668,0.1
43:53.4,19,14.3,-19,20,8,671,668,0.1
43:53.4,20,14.3,-19,20,1,671,667,0.1
43:53.4,14,14.3,-19,20,-6,671,665,0.1
43:53.4,2,14.3,-19,20,-12,671,664,0.1
43:53.4,-10,14.3,-19,20,-12,671,664,0.1
43:53.4,-18,14.3,-19,20,-8,671,665,0.1
43:53.4,-19,14.3,-19,20,-1,671,666,0.1
43:53.4,-13,14.3,-19,20,6,671,668,0.1
43:53.4,-1,14.3,-19,20,12,671,668,0.1
43:53.4,11,14.3,-19,20,12,671,667,0.1
43:53.4,19,14.3,-19,20,8,671,666,0.1
43:53.4,20,14.3,-19,20,1,671,664,0.1
43:53.4,13,14.3,-19,20,-7,671,663,0.1
43:53.4,2,14.3,-19,20,-11,671,664,0.1
43:53.4,-10,14.3,-19,20,-12,671,665,0.1
43:53.4,-18,14.3,-19,20,-8,671,667,0.1
43:53.4,-19,14.3,-19,20,-1,671,668,0.1
43:53.4,-13,14.2,-19,20,6,671,668,0.1
43:53.4,-1,14.2,-19,20,12,671,667,0.1
43:53.4,11,14.2,-19,20,12,671,665,0.1
43:53.4,19,14.2,-19,20,8,671,664,0.1
43:53.4,20,14.2,-19,20,1,671,664,0.1
43:53.4,13,14.2,-19,20,-7,671,665,0.1
43:53.4,2,14.2,-19,20,-11,671,667,0.1
43:53.4,-10,14.2,-19,20,-12,671,668,0.1
43:53.4,-18,14.2,-19,20,-8,671,668,0.1
43:53.4,-19,14.2,-19,20,-1,671,667,0.1
43:53.4,-13,14.2,-19,20,6,671,665,0.1
43:53.4,-1,14.2,-19,20,12,672,664,0.1
43:53.4,11,14.2,-19,20,12,671,664,0.1
43:53.4,19,14.2,-19,20,8,671,665,0.1
43:53.4,20,14.2,-19,20,1,671,666,0.1
43:53.4,14,14.2,-19,20,-6,671,668,0.1
43:53.4,2,14.2,-19,20,-12,671,668,0.1
43:53.4,-10,14.2,-19,20,-12,672,667,0.1
43:53.4,-18,14.2,-19,20,-8,671,666,0.1
43:53.4,-19,14.2,-19,20,-1,671,664,0.1
43:53.4,-13,14.3,-19,20,6,671,664,0.1
43:53.4,-1,14.3,-19,20,12,671,664,0.1
43:53.4,11,14.3,-19,20,12,671,666,0.1
43:53.4,19,14.3,-19,20,8,671,668,0.1
43:53.4,20,14.3,-19,20,1,671,668,0.1
