Time stamp,TMR,RMS,sat,didt,Power,Temp,OP
2024-11-16 20:00:49.368152,6,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.371499,5,5.3,0,-1,1023,21.29,0
2024-11-16 20:00:49.373674,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.375567,6,5.3,0,1,1023,21.78,0
2024-11-16 20:00:49.376928,5,5.3,0,-1,1023,21.78,0
2024-11-16 20:00:49.378299,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.379727,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.380992,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.382262,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.383809,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.385071,5,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.386450,6,5.3,0,1,1023,21.29,0
2024-11-16 20:00:49.387775,6,5.3,0,0,1023,21.29,0
2024-11-16 20:00:49.389109,5,5.3,0,-1,1023,21.78,0
2024-11-16 20:00:49.390368,6,5.3,0,1,1023,21.78,0
2024-11-16 20:00:49.391702,5,5.3,0,-1,1023,21.78,0
2024-11-16 20:00:49.393013,6,5.3,0,1,1023,21.78,0
2024-11-16 20:00:49.394369,6,5.3,0,0,1023,21.78,0
2024-11-16 20:00:49.395815,5,5.3,0,-1,1023,21.78,0
2024-11-16 20:00:49.397081,6,5.5,0,1,1023,21.29,0
2024-11-16 20:00:49.398301,6,5.5,0,0,1023,21.78,0
2024-11-16 20:00:49.399760,5,5.5,0,-1,1023,21.78,0
2024-11-16 20:00:49.401210,6,5.5,0,1,1023,21.29,0
2024-11-16 20:00:49.402556,5,5.5,0,-1,1023,21.78,0
2024-11-16 20:00:49.403834,5,5.5,0,0,1023,21.78,0
2024-11-16 20:00:49.405065,6,5.5,0,1,1023,21.29,0
2024-11-16 20:00:49.406379,5,5.5,0,-1,1023,21.78,0
2024-11-16 20:00:49.407626,6,5.5,0,1,1023,21.78,0
2024-11-16 20:00:49.408881,6,5.5,0,0,1023,21.29,0
2024-11-16 20:00:49.410149,5,5.6,0,-1,1023,21.78,0
2024-11-16 20:00:49.411382,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.412609,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.413981,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.415357,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.416892,6,5.6,0,1,1023,21.78,0
2024-11-16 20:00:49.418261,5,5.6,0,-1,1023,21.29,0
2024-11-16 20:00:49.419579,5,5.6,0,0,1023,21.29,0
2024-11-16 20:00:49.420984,6,5.6,0,1,1023,21.78,0
2024-11-16 20:00:49.422463,5,5.6,0,-1,1023,21.78,0
2024-11-16 20:00:49.423769,5,5.2,0,0,1023,21.78,0
2024-11-16 20:00:49.424990,6,5.2,0,1,1023,21.78,0
2024-11-16 20:00:49.426260,5,5.2,0,-1,1023,21.78,0
2024-11-16 20:00:49.427543,6,5.2,0,1,1023,21.78,0
2024-11-16 20:00:49.428761,6,5.2,0,0,1023,21.29,0
2024-11-16 20:00:49.430022,5,5.2,0,-1,1023,21.78,0
2024-11-16 20:00:49.431249,6,5.2,0,1,1023,21.78,0
2024-11-16 20:00:49.432540,5,5.2,0,-1,1023,21.78,0
2024-11-16 20:00:49.433997,6,5.2,0,1,1023,21.78,0
2024-11-16 20:00:49.435231,6,5.2,0,0,1023,21.29,0
2024-11-16 20:00:49.436517,5,5.6,0,-1,1023,21.78,0
2024-11-16 20:00:49.437745,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.438991,6,5.6,0,1,1023,21.78,0
2024-11-16 20:00:49.440280,5,5.6,0,-1,1023,21.29,0
2024-11-16 20:00:49.441485,5,5.6,0,0,1023,21.78,0
2024-11-16 20:00:49.442723,6,5.6,0,1,1023,21.78,0
2024-11-16 20:00:49.444053,5,5.6,0,-1,1023,21.78,0
2024-11-16 20:00:49.445377,6,5.6,0,1,1023,21.29,0
2024-11-16 20:00:49.446673,6,5.6,0,0,1023,21.29,0
2024-11-16 20:00:49.448060,5,5.6,0,-1,1023,21.78,0
2024-11-16 20:00:49.449512,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.450959,6,5.4,0,1,1023,21.29,0
2024-11-16 20:00:49.452435,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.453745,6,5.4,0,1,1023,21.29,0
2024-11-16 20:00:49.455024,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.456274,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.457511,6,5.4,0,1,1023,21.78,0
2024-11-16 20:00:49.458806,5,5.4,0,-1,1023,21.29,0
2024-11-16 20:00:49.460051,6,5.4,0,1,1023,21.29,0
2024-11-16 20:00:49.461264,6,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.462549,5,5.5,0,-1,1023,21.78,0
2024-11-16 20:00:49.463809,5,5.5,0,0,1023,21.78,0
2024-11-16 20:00:49.465015,5,5.5,0,0,1023,21.78,0
2024-11-16 20:00:49.466358,5,5.5,0,0,1023,21.78,0
2024-11-16 20:00:49.467738,6,5.5,0,1,1023,21.78,0
2024-11-16 20:00:49.468999,6,5.5,0,0,1023,21.29,0
2024-11-16 20:00:49.470297,5,5.5,0,-1,1023,21.78,0
2024-11-16 20:00:49.471648,6,5.5,0,1,1023,21.29,0
2024-11-16 20:00:49.472929,5,5.5,0,-1,1023,21.29,0
2024-11-16 20:00:49.474150,6,5.5,0,1,1023,21.78,0
2024-11-16 20:00:49.475380,6,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.476765,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.478080,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.479409,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.480723,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.482037,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.483670,6,5.4,0,1,1023,21.29,0
2024-11-16 20:00:49.485066,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.486295,6,5.4,0,1,1023,21.78,0
2024-11-16 20:00:49.488047,6,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.489340,5,5.4,0,-1,1023,21.29,0
2024-11-16 20:00:49.490566,5,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.491803,6,5.4,0,1,1023,21.78,0
2024-11-16 20:00:49.493075,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.494311,6,5.4,0,1,1023,21.29,0
2024-11-16 20:00:49.495569,6,5.4,0,0,1023,21.78,0
2024-11-16 20:00:49.496823,5,5.4,0,-1,1023,21.29,0
2024-11-16 20:00:49.498047,6,5.4,0,1,1023,21.78,0
2024-11-16 20:00:49.499467,5,5.4,0,-1,1023,21.78,0
2024-11-16 20:00:49.500893,6,5.4,0,1,1023,21.78,0
2024-11-16 20:00:49.502120,6,5.5,0,0,1023,21.78,0
2024-11-16 20:01:01.536856,107,107.6,1,-184,1023,21.78,30
2024-11-16 20:01:01.540522,-110,109.9,1,-3,1023,21.29,30
2024-11-16 20:01:01.543607,-109,109.9,1,1,1023,21.78,30
2024-11-16 20:01:01.545448,-116,109.9,1,-7,1023,21.29,30
2024-11-16 20:01:01.546821,-11,109.9,0,105,1023,21.78,30
2024-11-16 20:01:01.548413,127,109.9,1,138,1023,21.78,30
2024-11-16 20:01:01.550093,122,109.9,1,-5,1023,21.78,30
2024-11-16 20:01:01.551760,122,109.9,1,0,1023,21.29,30
2024-11-16 20:01:01.553339,126,109.9,1,4,1023,21.78,30
2024-11-16 20:01:01.555033,-25,109.9,0,-151,1023,21.78,30
2024-11-16 20:01:01.556705,-116,109.9,1,-91,1023,21.78,30
2024-11-16 20:01:01.558339,-108,106.5,1,8,1023,21.78,30
2024-11-16 20:01:01.560256,-112,106.5,1,-4,1023,21.78,30
2024-11-16 20:01:01.561800,-103,106.5,1,9,1023,21.78,30
2024-11-16 20:01:01.563355,86,106.5,0,189,1023,21.78,30
2024-11-16 20:01:01.564859,127,106.5,1,41,1023,21.78,30
2024-11-16 20:01:01.566448,121,106.5,1,-6,1023,21.78,30
2024-11-16 20:01:01.568133,128,106.5,1,7,1023,21.78,30
2024-11-16 20:01:01.569698,102,106.5,1,-26,1023,21.78,30
