Time stamp,TMR,RMS,Min,Max,didt,Power,Temp,OP
2024-11-15 22:43:46.182422,-9,7.1,-9,10,-3,671,664,0.05
2024-11-15 22:43:46.186865,-9,7.1,-9,10,0,671,664,0.05
2024-11-15 22:43:46.189397,-5,7.1,-9,10,4,671,665,0.05
2024-11-15 22:43:46.191315,1,7.1,-9,10,6,671,667,0.05
2024-11-15 22:43:46.193024,7,7.1,-9,10,6,671,668,0.05
2024-11-15 22:43:46.194689,10,7.1,-9,10,3,671,668,0.05
2024-11-15 22:43:46.196166,10,7.1,-9,10,0,671,667,0.05
2024-11-15 22:43:46.197533,6,7.1,-9,10,-4,671,665,0.05
2024-11-15 22:43:46.198903,0,7.1,-9,10,-6,671,664,0.05
2024-11-15 22:43:46.200355,-6,7.1,-9,10,-6,671,664,0.05
2024-11-15 22:43:46.201950,-10,7.1,-9,10,-4,671,665,0.05
2024-11-15 22:43:46.203376,-9,7.1,-9,10,1,671,667,0.05
2024-11-15 22:43:46.204780,-5,7.1,-9,10,4,671,668,0.05
2024-11-15 22:43:46.206082,1,7.1,-9,10,6,671,668,0.05
2024-11-15 22:43:46.207448,7,7.1,-9,10,6,671,667,0.05
2024-11-15 22:43:46.208812,10,7.1,-9,10,3,671,666,0.05
2024-11-15 22:43:46.210276,10,7.1,-9,10,0,671,664,0.05
2024-11-15 22:43:46.211865,6,7.1,-9,10,-4,671,664,0.05
2024-11-15 22:43:46.213220,0,7.1,-9,10,-6,671,665,0.05
2024-11-15 22:43:46.214594,-7,7.1,-9,10,-7,671,666,0.05
2024-11-15 22:43:46.216114,-10,7.4,-10,10,-3,671,668,0.05
2024-11-15 22:43:46.217516,-9,7.4,-10,10,1,672,668,0.05
2024-11-15 22:43:46.218912,-5,7.4,-10,10,4,671,668,0.05
2024-11-15 22:43:46.220272,1,7.4,-10,10,6,671,666,0.05
2024-11-15 22:43:46.221590,7,7.4,-10,10,6,671,664,0.05
2024-11-15 22:43:46.222989,10,7.4,-10,10,3,671,664,0.05
2024-11-15 22:43:46.224393,9,7.4,-10,10,-1,671,664,0.05
2024-11-15 22:43:46.225747,6,7.4,-10,10,-3,671,665,0.05
2024-11-15 22:43:46.227161,0,7.4,-10,10,-6,672,667,0.05
2024-11-15 22:43:46.228805,-6,7.4,-10,10,-6,671,668,0.05
2024-11-15 22:43:46.230280,-9,7.1,-10,10,-3,672,668,0.05
2024-11-15 22:43:46.231734,-9,7.1,-10,10,0,671,667,0.05
2024-11-15 22:43:46.233170,-5,7.1,-10,10,4,671,665,0.05
2024-11-15 22:43:46.234591,1,7.1,-10,10,6,671,664,0.05
2024-11-15 22:43:46.236107,7,7.1,-10,10,6,671,664,0.05
2024-11-15 22:43:46.237630,11,7.1,-10,10,4,671,665,0.05
2024-11-15 22:43:46.239084,10,7.1,-10,10,-1,671,667,0.05
2024-11-15 22:43:46.240486,6,7.1,-10,10,-4,672,668,0.05
2024-11-15 22:43:46.241876,0,7.1,-10,10,-6,671,668,0.05
2024-11-15 22:43:46.243313,-6,7.1,-10,10,-6,671,667,0.05
2024-11-15 22:43:46.244793,-10,7.3,-9,11,-4,671,666,0.05
2024-11-15 22:43:46.246104,-9,7.3,-9,11,1,672,664,0.05
2024-11-15 22:43:46.247410,-5,7.3,-9,11,4,671,664,0.05
2024-11-15 22:43:46.248690,1,7.3,-9,11,6,671,665,0.05
2024-11-15 22:43:46.249948,7,7.3,-9,11,6,671,666,0.05
2024-11-15 22:43:46.251299,11,7.3,-9,11,4,671,668,0.05
2024-11-15 22:43:46.252785,10,7.3,-9,11,-1,671,668,0.05
2024-11-15 22:43:46.254122,6,7.3,-9,11,-4,671,668,0.05
2024-11-15 22:43:46.255449,0,7.3,-9,11,-6,672,666,0.05
2024-11-15 22:43:46.256817,-6,7.3,-9,11,-6,671,665,0.05
2024-11-15 22:43:46.258265,-9,7.4,-10,11,-3,671,664,0.05
2024-11-15 22:43:46.259839,-9,7.4,-10,11,0,671,664,0.05
2024-11-15 22:43:46.261316,-5,7.4,-10,11,4,671,665,0.05
2024-11-15 22:43:46.262698,1,7.4,-10,11,6,671,667,0.05
2024-11-15 22:43:46.264132,7,7.4,-10,11,6,671,668,0.05
2024-11-15 22:43:46.265618,10,7.4,-10,11,3,671,668,0.05
2024-11-15 22:43:46.267151,10,7.4,-10,11,0,671,667,0.05
2024-11-15 22:43:46.268667,5,7.4,-10,11,-5,671,665,0.05
2024-11-15 22:43:46.270062,0,7.4,-10,11,-5,671,664,0.05
2024-11-15 22:43:46.271517,-6,7.4,-10,11,-6,672,664,0.05
2024-11-15 22:43:46.272937,-10,7.1,-9,10,-4,671,665,0.05
2024-11-15 22:43:46.274246,-9,7.1,-9,10,1,671,667,0.05
