Time stamp,TMR,RMS,Min,Max,didt,Power,Temp,OP
44:43.8,512,451.1,-512,511,0,674,656,5
44:43.8,-512,451.1,-512,511,0,674,654,5
44:43.9,-443,451.1,-512,511,69,671,658,5
44:43.9,182,451.1,-512,511,625,671,665,5
44:43.9,511,450.6,-512,511,329,671,668,5
44:43.9,511,450.6,-512,511,0,671,668,5
44:43.9,511,450.6,-512,511,0,671,667,5
44:43.9,441,450.6,-512,511,-70,671,665,5
44:43.9,-182,450.6,-512,511,-623,671,662,5
44:43.9,-512,450.6,-512,511,-330,674,663,5
44:43.9,-512,450.6,-512,511,0,674,657,5
44:43.9,-512,450.6,-512,511,0,674,656,5
44:43.9,-441,450.6,-512,511,71,671,661,5
44:43.9,185,450.6,-512,511,626,671,667,5
44:43.9,511,450.1,-512,511,326,671,667,5
44:43.9,511,450.1,-512,511,0,671,666,5
44:43.9,511,450.1,-512,511,0,671,664,5
44:43.9,438,450.1,-512,511,-73,671,663,5
44:43.9,-185,450.1,-512,511,-623,671,663,5
44:43.9,-512,450.1,-512,511,-327,674,665,5
44:43.9,-512,450.1,-512,511,0,674,660,5
44:43.9,-512,450.1,-512,511,0,674,657,5
44:43.9,-439,450.1,-512,511,73,671,661,5
44:43.9,187,450.1,-512,511,626,671,665,5
44:43.9,511,449.8,-512,511,324,671,665,5
44:43.9,511,449.8,-512,511,0,671,664,5
44:43.9,511,449.8,-512,511,0,671,664,5
44:43.9,435,449.8,-512,511,-76,671,664,5
44:43.9,-188,449.8,-512,511,-623,671,665,5
44:43.9,-512,449.8,-512,511,-324,674,667,5
44:43.9,-512,449.8,-512,511,0,674,660,5
44:43.9,-512,449.8,-512,511,0,674,657,5
44:43.9,-436,449.8,-512,511,76,671,658,5
44:43.9,190,449.8,-512,511,626,671,663,5
44:43.9,511,449.5,-512,511,321,671,664,5
44:43.9,511,449.5,-512,511,0,671,665,5
44:43.9,511,449.5,-512,511,0,671,666,5
44:43.9,434,449.5,-512,511,-77,671,667,5
44:43.9,-191,449.5,-512,511,-625,671,666,5
44:43.9,-512,449.5,-512,511,-321,674,666,5
44:43.9,-512,449.5,-512,511,0,675,658,5
44:43.9,-512,449.5,-512,511,0,674,654,5
44:43.9,-430,449.5,-512,511,82,671,657,5
44:43.9,194,449.5,-512,511,624,671,663,5
44:43.9,511,449.1,-512,511,317,671,665,5
44:43.9,511,449.1,-512,511,0,672,667,5
44:43.9,511,449.1,-512,511,0,671,668,5
44:43.9,430,449.1,-512,511,-81,671,667,5
44:43.9,-195,449.1,-512,511,-625,671,665,5
44:43.9,-512,449.1,-512,511,-317,674,664,5
44:43.9,-512,449.1,-512,511,0,674,656,5
44:43.9,-512,449.1,-512,511,0,674,654,5
44:43.9,-427,449.1,-512,511,85,671,658,5
44:43.9,197,449.1,-512,511,624,671,665,5
44:43.9,511,448.8,-512,511,314,671,668,5
44:43.9,511,448.8,-512,511,0,671,668,5
44:43.9,511,448.8,-512,511,0,671,667,5
44:44.0,427,448.8,-512,511,-84,671,664,5
44:44.0,-198,448.8,-512,511,-625,671,662,5
44:44.0,-512,448.8,-512,511,-314,674,663,5
44:44.0,-512,448.8,-512,511,0,674,657,5
44:44.0,-512,448.8,-512,511,0,674,656,5
44:44.0,-426,448.8,-512,511,86,671,661,5
44:44.0,202,448.8,-512,511,628,671,667,5
44:44.0,511,448.7,-512,511,309,671,667,5
44:44.0,511,448.7,-512,511,0,671,666,5
44:44.0,511,448.7,-512,511,0,671,664,5
44:44.0,424,448.7,-512,511,-87,671,663,5
44:44.0,-202,448.7,-512,511,-626,671,663,5
44:44.0,-512,448.7,-512,511,-310,674,665,5
44:44.0,-512,448.7,-512,511,0,674,660,5
44:44.0,-512,448.7,-512,511,0,674,657,5
44:44.0,-423,448.7,-512,511,89,671,661,5
44:44.0,204,448.7,-512,511,627,671,665,5
44:44.0,511,448.4,-512,511,307,671,665,5
44:44.0,511,448.4,-512,511,0,671,664,5
44:44.0,511,448.4,-512,511,0,671,664,5
44:44.0,421,448.4,-512,511,-90,671,664,5
44:44.0,-205,448.4,-512,511,-626,671,665,5
44:44.0,-512,448.4,-512,511,-307,674,667,5
44:44.0,-512,448.4,-512,511,0,674,660,5
44:44.0,-512,448.4,-512,511,0,674,656,5
44:44.0,-420,448.4,-512,511,92,671,658,5
44:44.0,205,448.4,-512,511,625,671,663,5
44:44.0,511,448,-512,511,306,671,664,5
44:44.0,511,448,-512,511,0,671,665,5
44:44.0,511,448,-512,511,0,671,666,5
44:44.0,417,448,-512,511,-94,671,667,5
44:44.0,-211,448,-512,511,-628,671,666,5
44:44.0,-512,448,-512,511,-301,674,666,5
44:44.0,-512,448,-512,511,0,675,658,5
44:44.0,-512,448,-512,511,0,675,654,5
44:44.0,-414,448,-512,511,98,671,657,5
44:44.0,211,448,-512,511,625,671,663,5
44:44.0,511,447.7,-512,511,300,671,666,5
44:44.0,511,447.7,-512,511,0,671,667,5
44:44.0,511,447.7,-512,511,0,671,668,5
44:44.0,414,447.7,-512,511,-97,671,667,5
44:44.0,-213,447.7,-512,511,-627,671,665,5
44:44.0,-512,447.7,-512,511,-299,674,664,5
44:29.4,-97,399.2,-512,511,337,672,669,3
44:29.4,277,399.2,-512,511,374,671,668,3
44:29.4,511,399.2,-512,511,234,671,666,3
44:29.4,511,399.2,-512,511,0,671,665,3
44:29.4,433,399.2,-512,511,-78,671,664,3
44:29.4,96,399.2,-512,511,-337,671,664,3
44:29.4,-276,399.2,-512,511,-372,671,666,3
44:29.4,-512,399.2,-512,511,-236,671,667,3
44:29.4,-512,399.2,-512,511,0,671,667,3
44:29.4,-433,399.2,-512,511,79,671,667,3
44:29.4,-95,399.2,-512,511,338,671,666,3
44:29.4,278,399.2,-512,511,373,672,665,3
44:29.4,511,399.2,-512,511,233,671,665,3
44:29.4,511,399.2,-512,511,0,671,665,3
44:29.4,431,399.2,-512,511,-80,671,666,3
44:29.4,95,399.2,-512,511,-336,671,667,3
44:29.4,-278,399.2,-512,511,-373,671,667,3
44:29.4,-512,399.2,-512,511,-234,671,666,3
44:29.4,-512,399,-512,511,0,671,665,3
44:29.4,-431,399,-512,511,81,671,664,3
44:29.5,-94,399,-512,511,337,671,665,3
44:29.5,280,399,-512,511,374,671,666,3
44:29.5,511,399,-512,511,231,671,667,3
44:29.5,511,399,-512,511,0,671,668,3
44:29.5,430,399,-512,511,-81,671,668,3
44:29.5,93,399,-512,511,-337,671,667,3
44:29.5,-280,399,-512,511,-373,671,665,3
44:29.5,-512,399,-512,511,-232,671,664,3
44:29.5,-512,398.9,-512,511,0,671,663,3
44:29.5,-428,398.9,-512,511,84,671,664,3
44:29.5,-92,398.9,-512,511,336,671,666,3
44:29.5,281,398.9,-512,511,373,671,668,3
44:29.5,511,398.9,-512,511,230,671,669,3
44:29.5,511,398.9,-512,511,0,671,668,3
44:29.5,430,398.9,-512,511,-81,671,667,3
44:29.5,91,398.9,-512,511,-339,671,664,3
44:29.5,-282,398.9,-512,511,-373,671,663,3
44:29.5,-512,398.9,-512,511,-230,671,663,3
44:29.5,-512,398.7,-512,511,0,671,664,3
44:29.5,-429,398.7,-512,511,83,671,667,3
44:29.5,-90,398.7,-512,511,339,671,669,3
44:29.5,284,398.7,-512,511,374,671,669,3
44:29.5,511,398.7,-512,511,227,671,668,3
44:29.5,511,398.7,-512,511,0,672,666,3
44:29.5,427,398.7,-512,511,-84,671,664,3
44:29.5,90,398.7,-512,511,-337,672,663,3
44:29.5,-285,398.7,-512,511,-375,671,663,3
44:29.5,-512,398.7,-512,511,-227,671,665,3
44:29.5,-512,398.9,-512,511,0,671,667,3
44:29.5,-427,398.9,-512,511,85,671,668,3
44:29.5,-87,398.9,-512,511,340,671,668,3
44:29.5,286,398.9,-512,511,373,671,667,3
44:29.5,511,398.9,-512,511,225,671,666,3
44:29.5,511,398.9,-512,511,0,671,665,3
44:29.5,427,398.9,-512,511,-84,672,664,3
44:29.5,88,398.9,-512,511,-339,671,664,3
44:29.5,-285,398.9,-512,511,-373,671,666,3
44:29.5,-512,398.9,-512,511,-227,671,667,3
44:29.5,-512,398.7,-512,511,0,671,667,3
44:29.5,-426,398.7,-512,511,86,671,667,3
44:29.5,-87,398.7,-512,511,339,671,666,3
44:29.5,286,398.7,-512,511,373,671,665,3
44:29.5,511,398.7,-512,511,225,671,665,3
44:29.5,511,398.7,-512,511,0,671,665,3
44:29.5,424,398.7,-512,511,-87,671,666,3
44:29.5,84,398.7,-512,511,-340,671,667,3
44:29.5,-287,398.7,-512,511,-371,672,667,3
44:29.5,-512,398.7,-512,511,-225,671,666,3
44:29.5,-512,398.3,-512,511,0,671,665,3
44:29.5,-425,398.3,-512,511,87,671,664,3
44:29.5,-85,398.3,-512,511,340,671,665,3
44:29.5,289,398.3,-512,511,374,671,666,3
44:29.5,511,398.3,-512,511,222,671,667,3
44:29.5,511,398.3,-512,511,0,671,668,3
44:29.5,424,398.3,-512,511,-87,671,668,3
44:29.6,84,398.3,-512,511,-340,672,667,3
44:29.6,-287,398.3,-512,511,-371,672,665,3
44:29.6,-512,398.3,-512,511,-225,671,663,3
44:29.6,-512,398.4,-512,511,0,671,663,3
44:29.6,-424,398.4,-512,511,88,671,664,3
44:29.6,-84,398.4,-512,511,340,671,666,3
44:29.6,289,398.4,-512,511,373,671,668,3
44:29.6,511,398.4,-512,511,222,671,669,3
44:29.6,511,398.4,-512,511,0,671,668,3
44:29.6,422,398.4,-512,511,-89,671,667,3
44:29.6,81,398.4,-512,511,-341,671,664,3
44:29.6,-291,398.4,-512,511,-372,671,663,3
44:29.6,-512,398.4,-512,511,-221,671,663,3
44:29.6,-512,398.3,-512,511,0,671,664,3
44:29.6,-421,398.3,-512,511,91,671,667,3
44:29.6,-80,398.3,-512,511,341,671,669,3
44:29.6,292,398.3,-512,511,372,672,669,3
44:29.6,511,398.3,-512,511,219,671,668,3
44:29.6,511,398.3,-512,511,0,671,666,3
44:29.6,421,398.3,-512,511,-90,671,664,3
44:29.6,80,398.3,-512,511,-341,671,663,3
44:29.6,-292,398.3,-512,511,-372,671,663,3
44:29.6,-512,398.3,-512,511,-220,671,665,3
44:29.6,-512,398,-512,511,0,671,667,3
44:29.6,-420,398,-512,511,92,671,668,3
44:36.6,-247,427,-512,511,265,671,661,4
44:36.6,258,427,-512,511,505,671,664,4
44:36.6,511,427,-512,511,253,671,665,4
44:36.6,511,427,-512,511,0,671,666,4
44:36.6,511,427,-512,511,0,672,668,4
44:36.6,246,427,-512,511,-265,672,667,4
44:36.6,-260,427,-512,511,-506,671,666,4
44:36.6,-512,427,-512,511,-252,672,665,4
44:36.6,-512,427,-512,511,0,674,658,4
44:36.6,-512,427,-512,511,0,671,654,4
44:36.6,-243,427.3,-512,511,269,671,661,4
44:36.6,260,427.3,-512,511,503,671,665,4
44:36.6,511,427.3,-512,511,251,671,668,4
44:36.7,511,427.3,-512,511,0,671,668,4
44:36.7,511,427.3,-512,511,0,672,668,4
44:36.7,242,427.3,-512,511,-269,671,666,4
